identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-B-2025-17203,2025-05-12,f50686d5f7ddbac739f3be9429f4c49f9ad0c2b415d56189035d3e7b128d96e2,2025,B,MODEL_REQUIRED,main-14,1,a4aeca58d26e60ce482e621fcbc0bbf4a1540bbed98118c1eefa40b20bbb3186
BOE-A-2026-8203,2026-04-13,80904042c49de758a67161d97baf957354e8b883b909383e44b99cdd23b53720,2026,A,MODEL_REQUIRED,main-14,2,a4afa21675d57129fed51bc961e8435a92130b7a9411a9a7ed6e49a2fdf95380
BOE-B-2025-6087,2025-02-21,d1d3880d68068e3f51d92c73f4a89b34f6d5e96e07beb04666ceefe53c45f530,2025,B,MODEL_REQUIRED,main-14,3,a4b4fe3c1d876af5cd288fb81438f46081632d92a7e0eba4f1c4b25f2fc36ba4
BOE-B-2025-5865,2025-02-19,1ddcd6ed7df130feb2a067eb3305aeee8f33ea4c68433d590394b473d8b608b6,2025,B,MODEL_REQUIRED,main-14,4,a4ba3d8933831feb668e7a89fde8f5c7105effa04bd7905c7b082d6da32039a7
BOE-B-2024-27197,2024-07-23,311976832e81579e5754acd662a86fce3bad5760189ce8bc8e2d3b86ad827ef1,2024,B,MODEL_REQUIRED,main-14,5,a4bd2402fff20cee5dfef0d36980efc64e709c9fc15fef36a9db9a919bc5111a
BOE-A-2024-5469,2024-03-19,a5a599d508ac4a14fe44c436135652e95b422a307ca013f4a413cf9abf5be8a8,2024,A,MODEL_REQUIRED,main-14,6,a4d09916abdd7fbcf07d08f6db15046792dc227355b77d064f05662a45e461cf
BOE-B-2024-31526,2024-09-07,4995acad73f8ab1d9d0ea19c68d07a30043fffe6d0d5d2a5747c906a35afaa46,2024,B,MODEL_REQUIRED,main-14,7,a4eef2992bfa72e4ff48f1d6693722764cd00fc3441293fcc3ef39e046588203
BOE-A-2026-16825,2026-08-01,5a9dab2c584c608d801b14206ea702b09678675809636c74a7821b231e33dca1,2026,A,MODEL_REQUIRED,main-14,8,a4f095eeadd5a352c85a3d4c6ffb0297264eeebd16c6ec2eb0d604e638ee3a7b
BOE-B-2024-39461,2024-11-01,eae807a5fe34679528e1db8b3f3c369139a96e7324278d1cd93d5b8235f52ed5,2024,B,MODEL_REQUIRED,main-14,9,a4f635831db7e7ae1a574788ffc5f5c6c84861d9025204477b8260242b76c522
BOE-A-2025-25994,2025-12-18,214832e743510e007699fd091299ae5a0e9110c5f0502738294b7b173b0a6132,2025,A,MODEL_REQUIRED,main-14,10,a5170a37ac89e407507b5c991a845ee00bc027ae98c0788c4dbf1356b1725f06
BOE-A-2024-12493,2024-06-19,747e85b2acb9c14b2abf07000dae8f7b1bcfa734c0c1a67ae5722609983c27df,2024,A,MODEL_REQUIRED,main-14,11,a52818e6dcbede7f8cfd45abebd2aeeed5d9570813a9a8dcd2d2db5573bedb2e
BOE-A-2026-2870,2026-02-07,154628c4602b315edc0e36a2af24876a3ae7e781d05e62acc6cea634206254da,2026,A,MODEL_REQUIRED,main-14,12,a53a6408d408b679fac726c1be2b131a4ffb0b4f1d2e8286cf45e7723b0b2405
