identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2026-17270,2026-08-07,4833b7542298acf684112e2ab069e0aa7f9a00f21777254d67eb793e7562b12b,2026,A,MODEL_REQUIRED,main-05,71,34c59eedc995deba5b489add6108a81864b3cf3f88e35b798b6c86c36909c680
BOE-A-2026-17271,2026-08-07,4b1e0bcd259fd47e2b8316d7ea4b6348da876d9e449fc66d0116a4638fe180f2,2026,A,MODEL_REQUIRED,main-11,117,84763eee96c05c57b21c20a9d4d596a26195625edf814946a9f3e5a78557fd23
BOE-A-2026-17272,2026-08-07,c5cc893e1169c87b2f1753536df406fa1e7a1d5d2e813363f2cf29e752297664,2026,A,MODEL_REQUIRED,main-12,249,983c449b37882a340b3387be1da8ecd98590be325728c9cde16c6b91930fb3bc
BOE-A-2026-17276,2026-08-07,14fa10e784f06aafe4d1814b2466a2ad8e98d5bf598515a2c62988a2c876f75e,2026,A,MODEL_REQUIRED,main-04,140,2ac7b951c1b21e688412e61683d27b06312d85164bd73a6140df1543a12e8176
BOE-B-2026-26389,2026-08-07,4edbbff0b2f5483437f658876d28fe40141ef945eba9d0aa3cada533b16ca3c2,2026,B,MODEL_REQUIRED,main-10,72,74a555665867a37acaa4b54aed8a7bc12f505cf023e4e29a5e57d1e0a2d14e16
BOE-B-2026-26404,2026-08-07,22ca3e3871db2dc63372ab565fdd4993091beaf075c96edd5dd5f038db5d841f,2026,B,MODEL_REQUIRED,main-15,170,bb7d1071d30e24560c2c11907daf1a84252bb22597297b9a7f8d940d0597b1ba
BOE-A-2026-17368,2026-08-08,ca026f04ee6e33100c3a2edf9ee881435e5dee3115b741eed269381b33cfd2e8,2026,A,MODEL_REQUIRED,main-19,188,f1c18e3dfb73900f93ebc90ae5ed0242f6c90c7de40068ac0dbaf95661f80544
BOE-A-2026-17482,2026-08-10,73e997ac0bf2a9f9d2d3ced2457de01afc8a2b54e320a8eec8a8b5eee1219201,2026,A,MODEL_REQUIRED,main-16,111,c63d7b2ea3292c8ab9a24354aad82f2d62fd458d21a2b515ea57d6b4301bd96b
BOE-A-2026-17571,2026-08-11,b28aff63ddbb14981379d22f7d4825d4a1d1152e37070e550b86dccc7e8b5b1b,2026,A,MODEL_REQUIRED,main-13,45,9abdeeb70c6aff41a07abac0b8eb0adae2e94f223428d0ae37c23134c3d7689c
BOE-B-2026-26761,2026-08-11,51a158f8b45983859cd354c566658869439e3ee2ea92ddd1dfdeb3c2a12bd01c,2026,B,MODEL_REQUIRED,main-02,179,13b4cc0824fe84c13fbd051cb10df8ab8841f12a22b9fddb5e9d81d1a3d0559c
BOE-B-2026-26785,2026-08-11,0e5725724395a254d965042b6c68b0fb3f13be5d12f567122279efca668282eb,2026,B,MODEL_REQUIRED,main-10,236,7cdf16efc3d6bde99a1ecb5c4cc349250a66fbb2733111ec2e4e22f472da3447
BOE-B-2026-26786,2026-08-11,e7408ff34e43c908c1742dd469ffe1639bd984976998b3cfcc9c31d43708ab61,2026,B,MODEL_REQUIRED,main-15,227,bebc5c08e7720de248668c6fe74059deb53472f165c14aeaadcf8350930cb0dd
BOE-B-2026-26787,2026-08-11,5488f01e9d1a48f2498594c1578a48057b3f814a25f4ce0db195b3964974352a,2026,B,MODEL_REQUIRED,main-18,2,da5d05de22ff6950d599dbd012055656b45d733436423956525f06b4dd774f4f
BOE-A-2026-17616,2026-08-12,b6a493b5d5c8afe584a6514160b8fb5517d117544af287f22a2f5ea1072482cb,2026,A,MODEL_REQUIRED,main-04,173,2d2fc2d359623d8ac419fad592964f3a95ce982b59dca17b336741ccb153f786
BOE-B-2026-26871,2026-08-12,56ba06f6e14945a434a616bf773ccdcbeaface7df73fdf6865c6e1348a8f2d60,2026,B,MODEL_REQUIRED,main-12,118,922edf94290e599a8707785525beb6d8a93c16a8c614d9aa622fb055471b6e1a
BOE-B-2026-26872,2026-08-12,feaa2bc78381535dec099cca0fd2803639cf9340b936a2b96144e6e393c82180,2026,B,MODEL_REQUIRED,main-17,223,d8dbe3fbf4233cf037f28444b17feb555d965bcb2b2924d03a8074693ed2efd8
BOE-A-2026-17711,2026-08-13,170be37c31a49e3b36500908d1685d062c95ce1d8e98ed4a4a687d897a682ab3,2026,A,MODEL_REQUIRED,main-01,181,08335f4eaee07c9c7d9c93dd7806de3d2dcc3ff75fe8c33d6dc674886ee0430f
BOE-A-2026-17712,2026-08-13,d1b2b4add8c8d2cdda0c347f96298552ecc3c73ea39b1d6796eecba7d1200407,2026,A,MODEL_REQUIRED,main-09,118,69e51690abd28903dda58f7b5042082bf56f3d9ce5f7013fd6fd9a84e9d1202f
